Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,docket_number,result,remanded,result text
abbvie-inc-v-federal-trade-commission.pdf,1.0,5675.0,96.38,43.13,8.95,29.3,9.65,27.35,58.78,35.3,5.5,1.34,0.72,0.09,0.05,0.07,0.41,4.16,8.95,11.72,4.72,1.78,3.35,1.07,7.49,1.96,1.23,0.53,7.68,0.97,2.52,1.36,1.15,0.02,0.46,0.19,2.36,0.12,0.04,0.02,0.19,9.25,3.47,1.85,0.95,1.27,0.93,2.4,0.95,0.76,0.04,0.05,0.95,0.19,0.67,0.0,0.11,5.66,0.32,1.6,3.52,0.39,0.62,2.87,3.05,0.62,7.37,0.7,5.04,1.73,5.55,0.23,1.07,0.88,0.19,0.04,1.3,0.04,1.13,0.0,0.0,0.0,66.11,44.3,5.32,0.09,0.44,0.0,0.0,4.9,2.75,1.52,4.74,2.06,20-1293,3,0,Petition DENIED.
abdah-v-obama-opposition.pdf,1.0,5100.0,96.66,39.47,10.67,25.77,10.87,23.18,54.39,35.04,4.65,1.2,0.37,0.08,0.04,0.27,0.43,3.45,7.94,12.55,4.31,1.45,3.35,1.96,7.0,2.12,1.35,0.73,12.33,1.33,2.2,1.1,1.1,0.06,0.75,0.1,2.82,0.06,0.04,0.0,0.39,8.06,1.76,1.08,0.78,1.96,0.37,3.27,0.8,0.59,0.22,0.0,0.22,0.02,0.02,0.0,0.18,5.22,0.2,1.16,3.75,0.1,0.25,1.53,4.27,0.61,9.18,1.59,5.51,1.59,4.35,0.33,0.29,0.12,0.04,0.04,0.73,0.0,0.57,0.04,0.04,0.02,50.0,30.41,6.78,0.12,0.67,0.0,0.0,1.55,1.8,0.76,6.94,0.96,11-421,3,0,Petition DENIED.
abdirahman-v-united-states-0.pdf,1.0,430.0,98.88,46.28,3.66,22.17,10.49,21.86,52.33,37.21,5.12,1.86,0.23,0.0,0.0,1.4,0.23,3.26,9.3,15.58,3.49,1.4,2.33,1.4,4.88,2.09,1.63,0.7,9.3,0.23,2.56,1.16,1.4,0.0,1.4,0.0,2.79,0.0,0.0,0.0,1.63,4.88,1.4,1.16,0.7,0.23,0.0,2.09,0.23,0.23,0.0,0.0,0.7,0.0,0.0,0.7,0.0,5.35,0.23,0.7,4.42,0.0,0.0,2.09,2.09,0.0,8.6,0.7,5.81,2.56,1.63,0.0,0.23,0.0,0.0,0.0,0.23,0.0,0.23,0.0,0.0,0.0,27.21,12.09,5.81,0.0,0.0,0.0,0.0,4.19,0.0,0.47,4.19,0.47,17-243,3,0,Petition DENIED.
abdirahman-v-united-states.pdf,1.0,899.0,98.46,46.0,4.47,31.46,13.03,24.58,56.84,37.15,3.56,0.67,0.11,0.0,0.0,0.0,0.56,2.89,9.57,14.46,4.34,0.78,4.67,1.11,6.23,3.34,2.11,0.89,6.9,0.89,1.45,0.89,0.56,0.0,0.44,0.11,2.67,0.0,0.0,0.0,0.0,7.12,1.67,1.33,0.78,2.11,0.11,2.45,0.67,0.67,0.0,0.0,0.11,0.0,0.0,0.0,0.11,7.23,0.0,0.44,6.79,0.11,0.0,2.45,2.89,0.78,7.34,0.44,5.12,2.0,3.11,0.33,0.33,0.0,0.0,0.0,0.56,0.0,0.44,0.0,0.11,0.0,24.36,9.45,6.34,0.0,0.0,0.0,0.0,2.89,0.44,0.44,4.45,0.33,17-243,3,0,Petition DENIED.
abebe-v-holder-opposition.txt,1.0,6376.0,96.02,40.84,11.58,31.38,13.26,23.48,59.32,38.58,6.04,1.91,0.88,0.03,0.0,0.82,0.19,4.12,8.42,13.38,5.57,1.84,3.34,1.43,7.78,3.22,2.57,1.08,9.76,1.84,2.81,1.57,1.24,0.11,0.88,0.13,2.73,0.02,0.02,0.02,0.82,8.77,2.12,2.12,1.0,1.21,0.72,2.78,0.42,0.36,0.05,0.0,0.36,0.05,0.03,0.2,0.08,3.97,0.16,0.64,2.74,0.19,0.41,2.98,3.89,0.25,9.87,0.89,6.9,2.1,1.88,0.14,0.78,0.02,0.19,0.02,0.96,0.0,0.8,0.02,0.06,0.0,30.36,9.41,5.66,0.16,0.39,0.0,0.0,1.71,2.57,1.14,7.21,2.1,09-600,3,0,Petition DENIED.
abigail-alliance-better-access-developmental-drugs-v-von-eschenbach-opposition.txt,1.0,6738.0,96.55,44.46,8.0,43.04,14.84,28.32,67.63,37.49,4.29,1.16,0.34,0.16,0.0,0.25,0.4,3.13,8.34,13.45,4.88,2.52,4.2,1.32,8.36,3.47,1.66,0.74,5.91,1.17,4.07,2.46,1.51,0.33,0.34,0.19,2.98,0.09,0.03,0.06,0.24,10.72,2.48,2.86,1.04,2.23,1.34,2.86,0.93,0.77,0.06,0.09,4.38,0.1,4.04,0.04,0.22,7.18,0.59,1.2,3.35,1.11,1.51,1.66,5.65,0.64,8.18,0.49,4.62,2.89,3.74,0.22,0.74,0.98,0.09,0.12,1.04,0.01,0.91,0.04,0.06,0.0,24.25,8.47,5.37,0.13,0.34,0.0,0.0,1.29,2.6,1.29,3.41,1.34,07-444,3,0,Petition DENIED.
able-time-inc-v-united-states-opposition-0.txt,1.0,4596.0,97.36,37.13,8.19,31.33,11.49,26.02,58.81,37.38,4.59,0.72,0.46,0.0,0.0,0.07,0.2,3.87,10.6,12.08,4.26,1.76,4.24,1.54,6.85,2.33,1.48,0.96,6.9,1.15,1.72,1.02,0.7,0.02,0.35,0.07,2.26,0.0,0.0,0.0,0.13,9.6,2.57,1.48,0.78,2.2,0.76,3.52,1.28,1.15,0.04,0.0,0.41,0.04,0.3,0.0,0.07,3.79,0.11,0.76,2.37,0.24,0.46,1.94,4.5,0.37,6.94,0.41,4.81,1.7,4.61,0.04,0.91,1.37,0.02,0.0,1.15,0.02,1.04,0.0,0.09,0.0,28.94,11.34,4.9,0.07,0.28,0.04,0.0,1.44,3.31,1.59,4.96,1.02,08-1201,3,0,Petition DENIED.
able-time-inc-v-united-states-opposition.pdf,1.0,5027.0,97.2,37.95,6.22,30.47,9.84,24.33,54.84,34.47,4.22,0.7,0.46,0.0,0.0,0.06,0.18,3.52,9.83,11.12,3.9,1.59,3.92,1.45,6.37,2.21,1.39,0.88,9.91,1.15,1.55,0.92,0.64,0.02,0.32,0.06,2.11,0.0,0.0,0.0,0.12,8.87,2.39,1.35,0.72,2.07,0.7,3.24,1.23,1.11,0.04,0.0,0.44,0.04,0.32,0.0,0.08,3.54,0.1,0.72,2.25,0.22,0.42,1.85,4.18,0.34,6.47,0.38,4.48,1.59,4.42,0.04,0.84,1.29,0.02,0.0,1.19,0.02,1.09,0.0,0.08,0.0,58.86,37.08,5.55,0.24,0.26,0.06,0.0,3.88,3.16,1.35,6.33,0.95,08-1201,3,0,Petition DENIED.
abramski-v-united-states-brief-merits.pdf,1.0,13288.0,97.08,48.92,3.33,24.57,12.36,23.74,58.32,36.22,5.19,1.51,0.26,0.03,0.11,0.88,0.22,3.69,9.75,11.79,4.53,1.56,3.37,1.32,7.51,1.82,1.1,0.81,11.72,1.83,1.72,0.82,0.9,0.02,0.45,0.14,3.85,0.15,0.09,0.06,1.03,9.09,2.33,1.79,1.16,2.0,0.87,2.67,0.86,0.56,0.08,0.2,0.57,0.21,0.18,0.08,0.12,4.3,0.2,0.75,2.97,0.35,0.38,2.37,3.82,0.29,6.74,0.68,4.83,1.29,3.24,0.31,0.36,2.81,0.02,0.0,0.81,0.02,0.65,0.08,0.04,0.0,87.0,61.93,5.61,0.14,0.46,0.01,0.0,2.78,3.07,1.14,10.05,1.82,12-1493,0,0,Adjudged to be AFFIRMED.
abuelhawa-v-united-states-brief-merits.txt,1.0,10614.0,95.19,48.91,7.18,14.24,14.87,25.41,66.04,40.62,5.87,1.42,0.27,0.04,0.02,0.81,0.28,4.45,9.18,13.2,5.1,2.43,5.13,1.49,8.98,3.24,2.02,1.05,7.28,2.58,2.84,0.92,1.76,0.2,1.16,0.12,5.79,0.05,0.04,0.08,0.84,12.13,1.5,3.47,1.13,3.01,1.11,4.34,1.28,0.51,0.74,0.01,1.29,0.08,1.07,0.07,0.08,4.9,1.08,0.72,2.56,0.3,0.5,1.87,5.94,0.55,8.05,0.82,5.02,2.23,2.01,0.5,0.27,1.43,0.03,0.05,1.31,0.02,1.19,0.05,0.01,0.0,27.14,8.73,6.01,0.11,0.41,0.0,0.0,1.22,2.86,0.9,5.63,1.24,08-192,1,1,Judgment REVERSED and case REMANDED.
abuelhawa-v-united-states-opposition.txt,1.0,5080.0,96.75,52.68,7.88,16.23,13.13,23.56,62.42,38.72,5.75,1.85,0.35,0.0,0.04,1.3,0.16,3.9,9.51,13.03,4.29,2.24,3.98,1.36,9.15,3.07,1.59,0.98,8.92,1.79,2.85,0.89,1.56,0.2,0.63,0.1,5.75,0.04,0.12,0.14,1.3,10.45,1.73,3.13,0.89,1.89,1.04,3.41,1.79,0.65,1.02,0.1,0.89,0.06,0.73,0.06,0.04,4.02,0.55,0.47,2.26,0.26,0.69,2.64,4.69,0.33,9.21,0.69,6.42,2.01,1.16,0.24,0.96,0.81,0.0,0.04,1.57,0.0,1.54,0.04,0.0,0.0,30.67,9.41,5.47,0.1,0.49,0.0,0.0,1.52,3.98,1.54,5.98,2.19,08-192,1,1,Judgment REVERSED and case REMANDED.
acorn-v-united-states.pdf,1.0,6920.0,96.15,44.49,8.01,23.51,10.39,27.62,59.09,34.18,4.51,0.68,0.32,0.0,0.01,0.09,0.27,3.83,7.57,12.02,3.99,1.79,4.15,1.32,6.07,2.6,1.33,0.69,9.44,1.23,2.41,1.13,1.27,0.14,0.59,0.13,3.02,0.1,0.03,0.01,0.12,9.05,2.54,1.55,0.66,2.04,0.94,2.76,0.87,0.74,0.04,0.07,0.45,0.16,0.12,0.06,0.12,5.48,0.85,1.05,3.16,0.39,0.38,1.94,3.51,0.46,7.7,0.72,4.48,2.67,5.13,0.56,0.95,1.75,0.01,0.06,1.4,0.03,1.16,0.06,0.1,0.0,44.44,25.64,7.33,0.17,0.51,0.0,0.0,1.43,2.56,1.11,4.26,1.43,10-1068,3,0,Petition DENIED.
acosta-v-united-states-opposition.txt,1.0,4804.0,97.42,42.96,5.55,1.0,11.69,25.37,60.72,38.09,5.56,1.64,0.27,0.0,0.0,0.87,0.5,3.91,9.12,14.07,3.98,1.46,4.54,1.25,7.6,2.44,1.33,0.69,9.8,1.21,5.5,0.87,4.6,0.67,2.37,0.71,3.04,0.02,0.06,0.0,0.9,10.2,2.0,2.89,0.81,2.23,0.83,3.29,0.98,0.83,0.04,0.1,0.65,0.29,0.48,0.0,0.04,5.0,0.33,0.6,2.85,0.5,1.25,2.62,3.66,0.37,7.56,0.46,5.41,1.71,1.75,0.17,0.81,0.29,0.04,0.1,0.75,0.0,0.69,0.0,0.06,0.0,27.56,12.01,5.41,0.02,0.33,0.0,0.0,1.27,2.33,1.06,4.25,0.87,07-60,3,0,Petition DENIED.
act-v-flra-opposition.txt,1.0,3528.0,98.25,45.05,7.1,35.16,12.47,25.6,60.54,36.93,4.37,0.79,0.45,0.03,0.0,0.23,0.09,3.57,11.2,12.41,4.39,1.79,3.15,1.16,6.07,3.23,1.25,0.85,7.03,1.02,4.39,2.47,1.93,0.06,0.17,0.45,2.95,0.0,0.0,0.17,0.06,7.88,2.32,1.33,0.85,1.16,0.71,2.55,0.37,0.28,0.03,0.0,0.54,0.14,0.09,0.0,0.34,7.68,1.28,2.61,3.68,0.54,0.43,2.01,3.88,0.23,7.94,0.51,5.67,1.28,6.15,1.05,0.62,0.51,0.0,0.34,1.08,0.06,0.74,0.11,0.11,0.0,27.66,10.35,5.44,0.06,0.45,0.06,0.0,1.33,1.64,2.55,4.08,1.7,07-1450,3,0,Petition DENIED.
adame-v-lynch.pdf,1.0,8771.0,96.3,43.93,13.23,37.89,12.23,24.57,60.75,37.48,6.53,2.26,1.03,0.07,0.0,1.15,0.01,4.28,8.72,12.92,4.46,1.66,3.52,1.35,7.06,2.38,1.2,0.76,10.71,1.78,2.45,1.56,0.88,0.03,0.27,0.22,3.51,0.05,0.02,0.01,1.16,10.65,4.16,1.04,0.89,2.6,1.58,2.71,1.04,0.93,0.09,0.01,0.41,0.03,0.19,0.0,0.18,4.9,0.23,1.36,3.17,0.3,0.29,2.63,3.36,0.24,8.45,0.91,5.55,1.87,3.71,0.31,0.67,0.08,0.08,0.05,1.35,0.02,1.21,0.03,0.06,0.0,74.56,47.5,5.31,0.11,0.4,0.0,0.0,3.25,2.87,1.54,11.66,1.92,14-1495,3,0,Petition DENIED.
adams-v-faa-opposition.txt,1.0,6167.0,96.1,48.83,19.29,44.47,13.49,22.73,64.78,40.26,6.0,1.75,0.54,0.31,0.34,0.06,0.5,4.25,9.02,13.88,5.29,2.21,3.99,1.67,8.58,2.48,1.56,0.94,8.17,1.72,2.61,1.8,0.78,0.1,0.23,0.13,4.23,0.0,0.18,0.0,0.06,8.51,2.06,1.61,0.97,1.69,0.92,2.92,0.91,0.52,0.26,0.0,0.83,0.06,0.47,0.0,0.29,8.74,0.66,1.25,6.23,0.29,0.66,2.66,4.7,0.58,11.32,1.07,5.85,4.35,3.42,0.21,0.49,0.08,0.05,0.0,1.12,0.05,0.76,0.18,0.08,0.0,27.19,9.32,5.84,0.68,0.31,0.06,0.0,1.28,1.78,1.14,5.16,1.62,08-1452,3,0,Petition DENIED.
adams-v-united-states-opposition-0.txt,1.0,6103.0,95.1,42.08,15.11,37.36,14.5,26.56,63.89,38.28,5.47,1.54,0.29,0.07,0.0,0.25,0.93,3.93,7.42,13.6,4.69,2.36,4.75,1.52,7.57,2.54,1.46,1.38,7.46,1.54,1.87,1.2,0.54,0.02,0.16,0.18,2.88,0.02,0.05,0.03,0.26,8.62,2.08,1.31,0.66,2.02,0.93,3.13,0.93,0.72,0.11,0.05,0.34,0.02,0.07,0.0,0.26,7.16,0.25,2.56,3.85,0.49,0.38,2.23,6.19,0.33,10.21,2.41,5.03,2.79,8.24,0.67,1.33,1.2,0.0,0.02,1.26,0.0,1.13,0.08,0.08,0.0,28.85,8.88,5.05,0.0,0.43,0.0,0.0,3.0,3.8,1.72,5.03,0.95,07-116,3,0,Petition DENIED.
adams-v-united-states-opposition-1.pdf,1.0,6748.0,96.12,44.11,12.99,32.38,10.63,22.35,57.48,33.03,4.43,1.08,0.41,0.0,0.0,0.07,0.59,3.35,7.28,12.02,4.08,2.05,3.7,1.26,6.97,2.98,2.15,0.71,13.32,1.66,2.93,1.66,1.27,0.13,0.5,0.19,2.59,0.03,0.16,0.04,0.09,8.57,2.33,2.12,0.76,1.99,0.84,2.28,1.22,1.05,0.09,0.03,0.67,0.12,0.27,0.0,0.28,7.07,0.25,1.19,4.65,0.39,0.87,2.67,3.07,0.41,10.05,1.01,4.95,4.08,3.39,0.24,0.82,0.43,0.01,0.0,0.98,0.12,0.68,0.07,0.03,0.01,84.14,60.18,6.74,0.21,0.79,0.0,0.0,3.19,3.08,1.16,7.34,1.47,13-597,3,0,Petition DENIED.
adkins-v-gates-opposition.txt,1.0,4838.0,95.97,49.42,7.61,32.88,11.12,27.88,64.32,37.56,6.37,1.67,0.7,0.02,0.0,0.35,0.6,4.69,9.07,12.46,4.61,1.69,4.09,1.26,6.7,2.75,2.11,0.76,5.85,1.2,2.6,1.49,1.07,0.14,0.43,0.21,4.57,0.99,0.06,0.14,0.31,8.95,2.03,2.27,1.03,1.53,0.91,2.75,0.41,0.39,0.0,0.02,0.35,0.1,0.14,0.02,0.12,7.65,1.94,0.72,4.4,0.14,0.79,2.71,3.56,0.54,8.31,0.39,4.96,2.79,7.36,0.21,0.93,1.88,0.19,0.02,1.07,0.02,0.93,0.08,0.04,0.0,25.24,11.2,4.61,0.08,0.17,0.0,0.0,1.57,1.82,1.12,3.8,0.87,06-1132,3,0,Petition DENIED.
adoptive-couple-v-baby-girl-amicus-merits.pdf,1.0,14915.0,95.49,63.05,12.21,47.06,14.51,24.72,64.99,37.71,4.85,1.27,0.29,0.01,0.01,0.62,0.34,3.58,7.95,13.0,4.96,2.07,5.08,1.18,7.17,2.98,1.59,1.05,8.11,1.59,2.89,2.01,0.86,0.13,0.17,0.21,8.44,3.0,0.03,0.64,1.31,9.76,2.41,1.48,0.98,3.16,0.72,3.63,0.43,0.36,0.01,0.02,0.89,0.05,0.6,0.05,0.11,9.25,3.35,1.01,4.4,0.39,0.69,1.95,4.2,0.86,9.29,0.52,5.91,2.82,3.25,0.77,1.04,0.15,0.03,0.01,0.61,0.03,0.53,0.02,0.02,0.0,62.84,43.48,5.28,0.23,0.79,0.0,0.0,1.54,3.81,0.93,5.83,0.94,12-399,1,1,Judgment REVERSED and case REMANDED.
adorers-blood-christ-v-federal-energy-regulatory-commn.pdf,1.0,4687.0,97.88,47.1,5.76,29.7,8.62,24.41,50.63,30.79,3.76,1.32,0.58,0.02,0.0,0.0,0.73,2.43,7.49,12.37,3.61,1.02,3.2,0.77,5.63,2.18,1.45,0.45,11.91,0.87,2.6,1.41,1.17,0.0,0.34,0.3,3.05,0.04,0.0,0.02,0.04,6.4,1.56,0.7,0.73,1.6,0.79,2.41,0.85,0.36,0.49,0.0,0.6,0.06,0.28,0.0,0.26,4.08,0.3,1.02,2.77,0.26,0.43,1.39,3.2,0.58,7.72,0.62,5.01,1.96,4.01,0.66,0.77,0.06,0.51,0.0,1.47,0.04,1.39,0.04,0.02,0.0,93.39,70.94,6.12,0.13,0.34,0.0,0.0,4.1,3.35,1.34,5.93,1.13,18-548,3,0,Petition DENIED.
